from	to	from_orient	to_orient	path_count	in_original_gfa
1	3	+	+	46	yes
1	2	+	+	1	yes
2	4	+	+	1	yes
3	4	+	+	46	yes
4	6	+	+	1	yes
4	5	+	+	46	yes
5	7	+	+	46	yes
6	7	+	+	1	yes
7	9	+	+	1	yes
7	8	+	+	46	yes
8	10	+	+	46	yes
9	10	+	+	1	yes
10	11	+	+	30	yes
10	12	+	+	17	yes
11	14	+	+	1	yes
11	13	+	+	29	yes
12	14	+	+	1	yes
12	13	+	+	16	yes
13	14	+	+	45	yes
14	16	+	+	1	yes
14	15	+	+	46	yes
15	16	+	+	46	yes
16	18	+	+	42	yes
16	17	+	+	5	yes
17	26	+	+	1	yes
17	21	+	+	2	yes
17	25	+	+	2	yes
18	19	+	+	1	yes
18	27	+	+	1	yes
18	20	+	+	3	yes
18	21	+	+	9	yes
18	26	+	+	16	yes
18	25	+	+	12	yes
19	20	+	+	1	yes
20	21	+	+	4	yes
21	23	+	+	1	yes
21	22	+	+	14	yes
22	24	+	+	14	yes
23	24	+	+	1	yes
24	25	+	+	15	yes
25	26	+	+	29	yes
26	27	+	+	46	yes
27	29	+	+	46	yes
27	28	+	+	1	yes
28	30	+	+	1	yes
29	34	+	+	10	yes
29	30	+	+	36	yes
30	32	+	+	7	yes
30	31	+	+	30	yes
31	33	+	+	30	yes
32	34	+	+	5	yes
32	33	+	+	2	yes
33	34	+	+	32	yes
34	36	+	+	3	yes
34	35	+	+	44	yes
35	37	+	+	44	yes
36	37	+	+	3	yes
37	38	+	+	33	yes
37	39	+	+	14	yes
38	39	+	+	33	yes
39	41	+	+	46	yes
39	40	+	+	1	yes
40	42	+	+	1	yes
41	42	+	+	46	yes
42	48	+	+	1	yes
42	44	+	+	3	yes
42	47	+	+	3	yes
42	43	+	+	2	yes
42	46	+	+	38	yes
43	44	+	+	2	yes
44	46	+	+	4	yes
44	45	+	+	1	yes
45	46	+	+	1	yes
46	47	+	+	43	yes
47	48	+	+	46	yes
48	49	+	+	43	yes
48	50	+	+	4	yes
49	51	+	+	43	yes
50	51	+	+	4	yes
51	52	+	+	45	yes
51	53	+	+	2	yes
52	54	+	+	45	yes
53	54	+	+	2	yes
54	56	+	+	46	yes
54	55	+	+	1	yes
55	57	+	+	1	yes
56	57	+	+	46	yes
57	58	+	+	46	yes
57	59	+	+	1	yes
58	60	+	+	46	yes
59	60	+	+	1	yes
60	62	+	+	46	yes
60	61	+	+	1	yes
61	63	+	+	1	yes
62	63	+	+	46	yes
63	65	+	+	17	yes
63	64	+	+	30	yes
64	66	+	+	30	yes
65	66	+	+	17	yes
66	68	+	+	1	yes
66	67	+	+	46	yes
67	69	+	+	46	yes
68	69	+	+	1	yes
69	71	+	+	1	yes
69	70	+	+	46	yes
70	72	+	+	46	yes
71	72	+	+	1	yes
72	73	+	+	46	yes
72	74	+	+	1	yes
73	75	+	+	46	yes
74	75	+	+	1	yes
75	77	+	+	1	yes
75	76	+	+	46	yes
76	78	+	+	46	yes
77	78	+	+	1	yes
78	80	+	+	1	yes
78	79	+	+	46	yes
79	81	+	+	46	yes
80	81	+	+	1	yes
81	82	+	+	46	yes
81	83	+	+	1	yes
82	84	+	+	46	yes
83	84	+	+	1	yes
84	86	+	+	1	yes
84	85	+	+	46	yes
85	87	+	+	46	yes
86	87	+	+	1	yes
