metric	value
path_count	28
training_path_count	17
tuning_path_count	6
heldout_path_count	5
path_weight_mode	suffix
total_effective_path_weight	319.50000000
training_effective_path_weight	202.00000000
tuning_effective_path_weight	62.50000000
heldout_effective_path_weight	55.00000000
selected_duration_weight	0.5000
motif_family_count	2
repeat_block_count	84
modal_repeat_block_count_per_path	3
paths_with_modal_repeat_block_count	28
paths_changed_from_P2_family_order	1
low_confidence_block_count	3
median_best_second_gap_bits	0.93489893
posterior_available_paths	28
second_best_available_paths	28
assembly_only_probabilistic_paths	28
gfa_node_count	29
gfa_edge_count	43
explicit_loop_positions	R1,R2,R3
exact_gfa_reconstruction_paths	28
