split	metric	value
train	path_count	17
train	exact_P2_family_order_paths	16
train	changed_from_P2_paths	1
train	mean_absolute_block_count_difference	0.05882353
train	mean_absolute_boundary_difference_bp	0.30612245
tune	path_count	6
tune	exact_P2_family_order_paths	6
tune	changed_from_P2_paths	0
tune	mean_absolute_block_count_difference	0.00000000
tune	mean_absolute_boundary_difference_bp	0.00000000
test	path_count	5
test	exact_P2_family_order_paths	5
test	changed_from_P2_paths	0
test	mean_absolute_block_count_difference	0.00000000
test	mean_absolute_boundary_difference_bp	0.00000000
all	path_count	28
all	exact_P2_family_order_paths	27
all	changed_from_P2_paths	1
all	mean_absolute_block_count_difference	0.03571429
all	mean_absolute_boundary_difference_bp	0.18292683
