source_scc	target_scc	path_support_count	total_traversals	paths
SCC0001	SCC0004	9	9	seq12_1.0,seq14_1.0,seq15_2.5,seq18_1.0,seq1_158.0,seq26_1.0,seq2_1.0,seq8_1.0,seq9_7.0
SCC0002	SCC0003	19	19	seq10_1.0,seq11_1.0,seq13_2.0,seq16_1.0,seq17_1.0,seq19_1.0,seq1_1.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0
SCC0003	SCC0005	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
SCC0004	SCC0003	9	9	seq12_1.0,seq14_1.0,seq15_2.5,seq18_1.0,seq1_158.0,seq26_1.0,seq2_1.0,seq8_1.0,seq9_7.0
SCC0005	SCC0006	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
SCC0006	SCC0007	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
SCC0007	SCC0008	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
SCC0008	SCC0009	1	1	seq23_1.0
SCC0008	SCC0010	2	2	seq11_1.0,seq13_2.0
SCC0008	SCC0011	1	1	seq25_1.0
SCC0008	SCC0012	1	1	seq19_1.0
SCC0008	SCC0013	1	1	seq15_2.5
SCC0008	SCC0014	12	12	seq10_1.0,seq16_1.0,seq1_1.0,seq20_1.0,seq22_1.0,seq24_2.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0
SCC0008	SCC0015	7	7	seq12_1.0,seq14_1.0,seq1_158.0,seq26_1.0,seq2_1.0,seq8_1.0,seq9_7.0
SCC0008	SCC0016	1	1	seq21_1.0
SCC0008	SCC0017	1	1	seq17_1.0
SCC0008	SCC0018	1	1	seq18_1.0
