path	umbrella_term	structural_term	dominant_period_bp	repeat_group_count	internal_complex_bp	inserted_bp	classification_basis	boundary_status
seq1_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq2_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq1_65.5	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq2_161.5	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq3_107.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq4_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq5_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq6_32.5	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq7_0.5	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq8_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq9_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq10_14.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq11_3.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq12_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq13_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq14_4.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq15_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq16_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq17_3.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq18_3.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq19_13.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq20_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq21_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq22_2.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq23_12.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq24_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq25_2.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq26_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq27_3.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq28_3.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq29_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq30_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq31_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq32_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq33_2.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq34_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq35_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq36_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq37_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq38_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq39_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq40_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq41_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq42_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq43_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq44_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
seq45_1.0	TR	complex/mosaic TR	3	2	75	7	multiple_motif_groups_or_interruptions	provisional_internal_consensus
