metric	value
path_count	47
training_path_count	28
tuning_path_count	9
heldout_path_count	10
path_weight_mode	equal
total_effective_path_weight	47.00000000
training_effective_path_weight	28.00000000
tuning_effective_path_weight	9.00000000
heldout_effective_path_weight	10.00000000
selected_duration_weight	1.0000
motif_family_count	2
repeat_block_count	141
modal_repeat_block_count_per_path	3
paths_with_modal_repeat_block_count	47
paths_changed_from_P2_family_order	0
low_confidence_block_count	2
median_best_second_gap_bits	0.72676809
posterior_available_paths	47
second_best_available_paths	47
assembly_only_probabilistic_paths	47
gfa_node_count	34
gfa_edge_count	47
explicit_loop_positions	R1,R2,R3
exact_gfa_reconstruction_paths	47
