split	metric	value
train	path_count	28
train	exact_P2_family_order_paths	28
train	changed_from_P2_paths	0
train	mean_absolute_block_count_difference	0.00000000
train	mean_absolute_boundary_difference_bp	0.05357143
tune	path_count	9
tune	exact_P2_family_order_paths	9
tune	changed_from_P2_paths	0
tune	mean_absolute_block_count_difference	0.00000000
tune	mean_absolute_boundary_difference_bp	0.00000000
test	path_count	10
test	exact_P2_family_order_paths	10
test	changed_from_P2_paths	0
test	mean_absolute_block_count_difference	0.00000000
test	mean_absolute_boundary_difference_bp	0.00000000
all	path_count	47
all	exact_P2_family_order_paths	47
all	changed_from_P2_paths	0
all	mean_absolute_block_count_difference	0.00000000
all	mean_absolute_boundary_difference_bp	0.03191489
