source_scc	target_scc	path_support_count	total_traversals	paths
SCC0001	SCC0007	15	15	seq16_1.0,seq18_3.0,seq25_2.0,seq2_1.0,seq2_161.5,seq31_1.0,seq32_1.0,seq33_2.0,seq37_1.0,seq38_1.0,seq41_1.0,seq44_1.0,seq5_1.0,seq7_0.5,seq8_1.0
SCC0002	SCC0006	29	29	seq10_14.0,seq11_3.0,seq12_1.0,seq13_1.0,seq14_4.0,seq17_3.0,seq19_13.0,seq1_1.0,seq1_65.5,seq20_1.0,seq21_1.0,seq22_2.0,seq23_12.0,seq24_1.0,seq26_1.0,seq27_3.0,seq28_3.0,seq29_1.0,seq30_1.0,seq34_1.0,seq35_1.0,seq36_1.0,seq39_1.0,seq3_107.0,seq40_1.0,seq45_1.0,seq4_1.0,seq6_32.5,seq9_1.0
SCC0003	SCC0007	1	1	seq43_1.0
SCC0004	SCC0007	1	1	seq15_1.0
SCC0005	SCC0006	1	1	seq42_1.0
SCC0006	SCC0008	47	47	seq10_14.0,seq11_3.0,seq12_1.0,seq13_1.0,seq14_4.0,seq15_1.0,seq16_1.0,seq17_3.0,seq18_3.0,seq19_13.0,seq1_1.0,seq1_65.5,seq20_1.0,seq21_1.0,seq22_2.0,seq23_12.0,seq24_1.0,seq25_2.0,seq26_1.0,seq27_3.0,seq28_3.0,seq29_1.0,seq2_1.0,seq2_161.5,seq30_1.0,seq31_1.0,seq32_1.0,seq33_2.0,seq34_1.0,seq35_1.0,seq36_1.0,seq37_1.0,seq38_1.0,seq39_1.0,seq3_107.0,seq40_1.0,seq41_1.0,seq42_1.0,seq43_1.0,seq44_1.0,seq45_1.0,seq4_1.0,seq5_1.0,seq6_32.5,seq7_0.5,seq8_1.0,seq9_1.0
SCC0007	SCC0006	17	17	seq15_1.0,seq16_1.0,seq18_3.0,seq25_2.0,seq2_1.0,seq2_161.5,seq31_1.0,seq32_1.0,seq33_2.0,seq37_1.0,seq38_1.0,seq41_1.0,seq43_1.0,seq44_1.0,seq5_1.0,seq7_0.5,seq8_1.0
SCC0008	SCC0009	45	45	seq10_14.0,seq12_1.0,seq13_1.0,seq14_4.0,seq15_1.0,seq16_1.0,seq17_3.0,seq18_3.0,seq19_13.0,seq1_1.0,seq1_65.5,seq20_1.0,seq21_1.0,seq22_2.0,seq23_12.0,seq24_1.0,seq25_2.0,seq26_1.0,seq27_3.0,seq28_3.0,seq29_1.0,seq2_1.0,seq2_161.5,seq30_1.0,seq31_1.0,seq32_1.0,seq33_2.0,seq34_1.0,seq35_1.0,seq36_1.0,seq37_1.0,seq38_1.0,seq39_1.0,seq3_107.0,seq40_1.0,seq41_1.0,seq42_1.0,seq43_1.0,seq44_1.0,seq45_1.0,seq4_1.0,seq5_1.0,seq6_32.5,seq7_0.5,seq9_1.0
SCC0008	SCC0010	1	1	seq8_1.0
SCC0008	SCC0011	1	1	seq11_3.0
SCC0009	SCC0012	45	45	seq10_14.0,seq12_1.0,seq13_1.0,seq14_4.0,seq15_1.0,seq16_1.0,seq17_3.0,seq18_3.0,seq19_13.0,seq1_1.0,seq1_65.5,seq20_1.0,seq21_1.0,seq22_2.0,seq23_12.0,seq24_1.0,seq25_2.0,seq26_1.0,seq27_3.0,seq28_3.0,seq29_1.0,seq2_1.0,seq2_161.5,seq30_1.0,seq31_1.0,seq32_1.0,seq33_2.0,seq34_1.0,seq35_1.0,seq36_1.0,seq37_1.0,seq38_1.0,seq39_1.0,seq3_107.0,seq40_1.0,seq41_1.0,seq42_1.0,seq43_1.0,seq44_1.0,seq45_1.0,seq4_1.0,seq5_1.0,seq6_32.5,seq7_0.5,seq9_1.0
SCC0010	SCC0012	1	1	seq8_1.0
SCC0011	SCC0012	1	1	seq11_3.0
SCC0012	SCC0013	47	47	seq10_14.0,seq11_3.0,seq12_1.0,seq13_1.0,seq14_4.0,seq15_1.0,seq16_1.0,seq17_3.0,seq18_3.0,seq19_13.0,seq1_1.0,seq1_65.5,seq20_1.0,seq21_1.0,seq22_2.0,seq23_12.0,seq24_1.0,seq25_2.0,seq26_1.0,seq27_3.0,seq28_3.0,seq29_1.0,seq2_1.0,seq2_161.5,seq30_1.0,seq31_1.0,seq32_1.0,seq33_2.0,seq34_1.0,seq35_1.0,seq36_1.0,seq37_1.0,seq38_1.0,seq39_1.0,seq3_107.0,seq40_1.0,seq41_1.0,seq42_1.0,seq43_1.0,seq44_1.0,seq45_1.0,seq4_1.0,seq5_1.0,seq6_32.5,seq7_0.5,seq8_1.0,seq9_1.0
SCC0013	SCC0014	1	1	seq25_2.0
SCC0013	SCC0015	1	1	seq39_1.0
SCC0013	SCC0016	1	1	seq24_1.0
SCC0013	SCC0017	1	1	seq7_0.5
SCC0013	SCC0018	1	1	seq36_1.0
SCC0013	SCC0019	1	1	seq5_1.0
SCC0013	SCC0020	1	1	seq12_1.0
SCC0013	SCC0021	2	2	seq29_1.0,seq35_1.0
SCC0013	SCC0022	23	23	seq10_14.0,seq11_3.0,seq13_1.0,seq14_4.0,seq17_3.0,seq19_13.0,seq1_1.0,seq1_65.5,seq20_1.0,seq21_1.0,seq22_2.0,seq23_12.0,seq26_1.0,seq27_3.0,seq30_1.0,seq34_1.0,seq3_107.0,seq40_1.0,seq42_1.0,seq45_1.0,seq4_1.0,seq6_32.5,seq9_1.0
SCC0013	SCC0023	13	13	seq15_1.0,seq16_1.0,seq2_1.0,seq2_161.5,seq31_1.0,seq32_1.0,seq33_2.0,seq37_1.0,seq38_1.0,seq41_1.0,seq43_1.0,seq44_1.0,seq8_1.0
SCC0013	SCC0024	1	1	seq28_3.0
SCC0013	SCC0025	1	1	seq18_3.0
