path	coordinate_system	left_anchor_start_bp	left_anchor_end_bp	right_anchor_start_bp	right_anchor_end_bp	left_anchor_unique	right_anchor_unique	anchors_unique	anchors_ordered	homology_window_start_bp	homology_window_end_bp	consensus_start_bp	start_ci_low_bp	start_ci_high_bp	consensus_end_bp	end_ci_low_bp	end_ci_high_bp	start_spread_bp	end_spread_bp	motif_uncertainty_bp	boundary_within_one_motif	method_count	method_family_count	internal_method_family_count	methods	start_support_family_count	start_support_methods	end_support_family_count	end_support_methods	boundary_support_methods	disagreement_method_count	external_method_count	external_methods	boundary_status	umbrella_term	structural_term
seq1_1.0	0-based_half-open	196	217	517	538	1	1	1	1	217	517	261	261	261	514	514	514	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq2_1.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq1_65.5	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq2_161.5	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq3_107.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq4_1.0	0-based_half-open	196	217	511	532	1	1	1	1	217	511	261	261	261	508	508	508	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq5_1.0	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq6_32.5	0-based_half-open	196	217	517	538	1	1	1	1	217	517	261	261	261	514	514	514	0	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq7_0.5	0-based_half-open	196	217	514	535	1	1	1	1	217	514	258	258	261	511	511	511	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
seq8_1.0	0-based_half-open	196	217	538	559	1	1	1	1	217	538	258	258	261	535	535	535	3	0	3	1	3	3	3	motif_run;periodicity_loops;probabilistic_dp	3	motif_run;periodicity_loops;probabilistic_dp	2	periodicity_loops;probabilistic_dp	periodicity_loops;probabilistic_dp	1	0	-	provisional_internal_consensus	TR	complex/mosaic TR
