source_segment	source_orientation	target_segment	target_orientation	source_location	target_location	source_scc	target_scc	edge_class	path_support_count	total_traversals	paths
B0_23dc37a61c	+	R1_M2_variant_GAG	+	B0	R1	SCC0001	SCC0004	condensation	9	9	seq12_1.0,seq14_1.0,seq15_2.5,seq18_1.0,seq1_158.0,seq26_1.0,seq2_1.0,seq8_1.0,seq9_7.0
B0_57d42ccb84	+	R1_M2_exact_GCG	+	B0	R1	SCC0002	SCC0003	condensation	19	19	seq10_1.0,seq11_1.0,seq13_2.0,seq16_1.0,seq17_1.0,seq19_1.0,seq1_1.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0
B2_0f9f5cc8d5	+	R3_M2_variant_GCT	+	B2	R3	SCC0006	SCC0007	condensation	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M1_exact_GCA	+	R1_M1_exact_GCA	+	R1	R1	SCC0003	SCC0003	within_scc	1	1	seq12_1.0
R1_M1_exact_GCA	+	R1_M2_exact_GCG	+	R1	R1	SCC0003	SCC0003	within_scc	1	1	seq12_1.0
R1_M2_exact_GCC	+	R1_M2_exact_GCC	+	R1	R1	SCC0003	SCC0003	within_scc	28	111	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_exact_GCC	+	R1_M2_exact_GCG	+	R1	R1	SCC0003	SCC0003	within_scc	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_exact_GCG	+	R1_M1_exact_GCA	+	R1	R1	SCC0003	SCC0003	within_scc	1	1	seq12_1.0
R1_M2_exact_GCG	+	R1_M2_exact_GCC	+	R1	R1	SCC0003	SCC0003	within_scc	27	27	seq10_1.0,seq11_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_exact_GCG	+	R1_M2_exact_GCG	+	R1	R1	SCC0003	SCC0003	within_scc	28	140	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_exact_GCG	+	R1_M2_variant_GCA	+	R1	R1	SCC0003	SCC0003	within_scc	27	27	seq10_1.0,seq11_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_exact_GCG	+	R1_M2_variant_GCT	+	R1	R1	SCC0003	SCC0003	within_scc	1	1	seq12_1.0
R1_M2_exact_GCG	+	R2_M1_variant_CAA	+	R1	R2	SCC0003	SCC0005	condensation	28	28	seq10_1.0,seq11_1.0,seq12_1.0,seq13_2.0,seq14_1.0,seq15_2.5,seq16_1.0,seq17_1.0,seq18_1.0,seq19_1.0,seq1_1.0,seq1_158.0,seq20_1.0,seq21_1.0,seq22_1.0,seq23_1.0,seq24_2.0,seq25_1.0,seq26_1.0,seq2_1.0,seq2_37.5,seq3_29.0,seq4_54.5,seq5_3.0,seq6_2.0,seq7_5.0,seq8_1.0,seq9_7.0
R1_M2_variant_GAG	+	R1_M2_exact_GCG	+	R1	R1	SCC0004	SCC0003	condensation	9	9	seq12_1.0,seq14_1.0,seq15_2.5,seq18_1.0,seq1_158.0,seq26_1.0,seq2_1.0,seq8_1.0,seq9_7.0
