event_id	read_evidence_rows	hq_spanning_reads	hq_supporting_reads	supporting_strands	both_strands_supported	read_support_fraction	platforms	supporting_callers	validation_status	validation_reason
EV_4e1d5ab4703b38	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_5958ce27705a62	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_4781e53a5d1027	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_d60607393240ff	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_539da8abecb8bb	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_a485896a031797	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_17a1b403d93304	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_809c3309643f46	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_bbac89414b6df4	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_48fe16d641429f	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_eeae61341aa63d	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_2897348ef5d6b7	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_7284cba3a38944	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_fca5e8dc74fd15	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_e0e83bbba5b633	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_45758c9e53b5e3	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_c83f5bba0e15cf	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_83cbafaace4579	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_416c1880ddd2e9	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_dcda0a97de9f54	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_058a0b174014f0	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_38f0b82d95ff18	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_ed7ca58653c439	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_865dada30249fa	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_f870087593ea6a	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_3e1cd5a7b91c35	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_8973e8e578360a	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_d91d388e769461	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_6b344d19f19757	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_bf276807ad9a72	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_7475a737a7360a	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_082e22b3e045a3	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
EV_b57e0dd61e1bc8	0	0	0	-	0	0.00000000	-	-	assembly_only_unvalidated	no_read_evidence
